北海道の道庁所在地,さっぽろ
青森の県庁所在地,あおもり
岩手の県庁所在地,もりおか
宮城の県庁所在地,せんだい
秋田の県庁所在地,あきた
山形の県庁所在地,やまがた
福島の県庁所在地,ふくしま
茨城の県庁所在地,みと
栃木の県庁所在地,うつのみや
群馬の県庁所在地,まえばし
埼玉の県庁所在地,さいたま
千葉の県庁所在地,ちば
東京の都庁所在地,しんじゅく
神奈川の県庁所在地,よこはま
新潟の県庁所在地,にいがた
富山の県庁所在地,とやま
石川の県庁所在地,かなざわ
福井の県庁所在地,ふくい
山梨の県庁所在地,こうふ
長野の県庁所在地,ながの
岐阜の県庁所在地,ぎふ
静岡の県庁所在地,しずおか
愛知の県庁所在地,なごや
三重の県庁所在地,つ
滋賀の県庁所在地,おおつ
京都の府庁所在地,きょうと
大阪の府庁所在地,おおさか
兵庫の県庁所在地,こうべ
奈良の県庁所在地,なら
和歌山の県庁所在地,わかやま
鳥取の県庁所在地,とっとり
島根の県庁所在地,まつえ
岡山の県庁所在地,おかやま
広島の県庁所在地,ひろしま
山口の県庁所在地,やまぐち
徳島の県庁所在地,とくしま
香川の県庁所在地,たかまつ
愛媛の県庁所在地,まつやま
高知の県庁所在地,こうち
福岡の県庁所在地,ふくおか
佐賀の県庁所在地,さが
長崎の県庁所在地,ながさき
熊本の県庁所在地,くまもと
大分の県庁所在地,おおいた
宮崎の県庁所在地,みやざき
鹿児島の県庁所在地,かごしま
沖縄の県庁所在地,なは
